,chromosome,start,end,GC,AT,N
69,chr1,8300001,8400000,0.47813,0.52187,0
70,chr1,8400001,8500000,0.47251,0.52749,0
71,chr1,8500001,8600000,0.42303,0.57697,0
72,chr1,8600001,8700000,0.39575,0.60425,0
73,chr1,8700001,8800000,0.40618,0.59382,0
74,chr1,8800001,8900000,0.42183,0.57817,0
75,chr1,8900001,9000000,0.48326,0.51674,0
76,chr1,9000001,9100000,0.49491,0.50509,0
77,chr1,9100001,9200000,0.48009,0.51991,0
78,chr1,9200001,9300000,0.50247,0.49753,0
79,chr1,9300001,9400000,0.53006,0.46994,0
80,chr1,9400001,9500000,0.52593,0.47407,0
81,chr1,9500001,9600000,0.49392,0.50608,0
82,chr1,9600001,9700000,0.50873,0.49127,0
83,chr1,9700001,9800000,0.51305,0.48695,0
84,chr1,9800001,9900000,0.47267,0.52733,0
85,chr1,9900001,10000000,0.49787,0.50213,0
86,chr1,10000001,10100000,0.46975,0.53025,0
87,chr1,10100001,10200000,0.43699,0.56301,0
88,chr1,10200001,10300000,0.44759,0.55241,0
89,chr1,10300001,10400000,0.40935,0.59065,0
90,chr1,10400001,10500000,0.46213,0.53787,0
91,chr1,10500001,10600000,0.46194,0.53806,0
92,chr1,10600001,10700000,0.46197,0.53803,0
93,chr1,10700001,10800000,0.58294,0.41706,0
94,chr1,10800001,10900000,0.53447,0.46553,0
95,chr1,10900001,11000000,0.51561,0.48439,0
96,chr1,11000001,11100000,0.49028,0.50972,0
97,chr1,11100001,11200000,0.48378,0.51622,0
98,chr1,11200001,11300000,0.43675,0.56325,0
99,chr1,11300001,11400000,0.49536,0.50464,0
100,chr1,11400001,11500000,0.49489,0.50511,0
101,chr1,11500001,11600000,0.52835,0.47165,0
102,chr1,11600001,11700000,0.50169,0.49831,0
103,chr1,11700001,11800000,0.53789,0.46211,0
104,chr1,11800001,11900000,0.51818,0.48182,0
105,chr1,11900001,12000000,0.51326,0.48674,0
106,chr1,12000001,12100000,0.52254,0.47746,0
107,chr1,12100001,12200000,0.5053,0.4947,0
108,chr1,12200001,12300000,0.52499,0.47501,0
109,chr1,12300001,12400000,0.41709,0.58291,0
110,chr1,12400001,12500000,0.41155,0.58845,0
111,chr1,12500001,12600000,0.44926,0.55074,0
112,chr1,12600001,12700000,0.51621,0.48379,0
113,chr1,12700001,12800000,0.44264,0.55736,0
114,chr1,12800001,12900000,0.44752,0.55248,0
115,chr1,12900001,13000000,0.45468,0.54532,0
116,chr1,13000001,13100000,0.24141,0.28857,0
117,chr1,13100001,13200000,0.44425,0.52577,0
118,chr1,13200001,13300000,0.09461,0.10451,0
119,chr1,13300001,13400000,0.36937,0.43151,0
120,chr1,13400001,13500000,0.46195,0.53805,0
121,chr1,13500001,13600000,0.2688,0.30282,0
122,chr1,13600001,13700000,0.4283,0.50008,0
123,chr1,13700001,13800000,0.47359,0.52641,0
124,chr1,13800001,13900000,0.47646,0.52354,0
125,chr1,13900001,14000000,0.45048,0.54952,0
126,chr1,14000001,14100000,0.40818,0.59182,0
127,chr1,14100001,14200000,0.45444,0.54556,0
128,chr1,14200001,14300000,0.44177,0.55823,0
129,chr1,14300001,14400000,0.42193,0.57807,0
130,chr1,14400001,14500000,0.43068,0.56932,0
131,chr1,14500001,14600000,0.41055,0.58945,0
132,chr1,14600001,14700000,0.42187,0.57813,0
133,chr1,14700001,14800000,0.43178,0.56822,0
134,chr1,14800001,14900000,0.43437,0.56563,0
135,chr1,14900001,15000000,0.45705,0.54295,0
136,chr1,15000001,15100000,0.47228,0.52772,0
137,chr1,15100001,15200000,0.48408,0.51592,0
138,chr1,15200001,15300000,0.50407,0.49593,0
139,chr1,15300001,15400000,0.51928,0.48072,0
140,chr1,15400001,15500000,0.49496,0.50504,0
141,chr1,15500001,15600000,0.46428,0.53572,0
142,chr1,15600001,15700000,0.48016,0.51984,0
143,chr1,15700001,15800000,0.51032,0.48968,0
144,chr1,15800001,15900000,0.45967,0.54033,0
145,chr1,15900001,16000000,0.4492,0.5508,0
146,chr1,16000001,16100000,0.53526,0.46474,0
147,chr1,16100001,16200000,0.4765,0.5235,0
148,chr1,16200001,16300000,0.45462,0.54538,0
149,chr1,16300001,16400000,0.55541,0.44459,0
150,chr1,16400001,16500000,0.54362,0.45638,0
151,chr1,16500001,16600000,0.50903,0.49097,0
152,chr1,16600001,16700000,0.44762,0.55238,0
153,chr1,16700001,16800000,0.48976,0.51024,0
154,chr1,17400001,17500000,0.49852,0.50148,0
155,chr1,17500001,17600000,0.51009,0.48991,0
156,chr1,17600001,17700000,0.49019,0.50981,0
157,chr1,17700001,17800000,0.50917,0.49083,0
158,chr1,17800001,17900000,0.50833,0.49167,0
159,chr1,17900001,18000000,0.54918,0.45082,0
160,chr1,18000001,18100000,0.51926,0.48074,0
161,chr1,18100001,18200000,0.48201,0.51799,0
162,chr1,18200001,18300000,0.48422,0.51578,0
163,chr1,18300001,18400000,0.48339,0.51661,0
164,chr1,18400001,18500000,0.50376,0.49624,0
165,chr1,18500001,18600000,0.48985,0.51015,0
166,chr1,18600001,18700000,0.49789,0.50211,0
167,chr1,18700001,18800000,0.47723,0.52277,0
168,chr1,18800001,18900000,0.474,0.526,0
169,chr1,18900001,19000000,0.50452,0.49548,0
170,chr1,19000001,19100000,0.50515,0.49485,0
171,chr1,19100001,19200000,0.50917,0.49083,0
172,chr1,19200001,19300000,0.53328,0.46672,0
173,chr1,19300001,19400000,0.48947,0.51053,0
174,chr1,19400001,19500000,0.44723,0.55277,0
175,chr1,19500001,19600000,0.45557,0.54443,0
176,chr1,19600001,19700000,0.51547,0.48453,0
177,chr1,19700001,19800000,0.47719,0.52281,0
178,chr1,19800001,19900000,0.46031,0.53969,0
179,chr1,19900001,20000000,0.48037,0.51963,0
180,chr1,20000001,20100000,0.4959,0.5041,0
181,chr1,20100001,20200000,0.44769,0.55231,0
182,chr1,20200001,20300000,0.44925,0.55075,0
183,chr1,20300001,20400000,0.42229,0.57771,0
184,chr1,20400001,20500000,0.49734,0.50266,0
185,chr1,20500001,20600000,0.46,0.54,0
186,chr1,20600001,20700000,0.50273,0.49727,0
187,chr1,20700001,20800000,0.48365,0.51635,0
188,chr1,20800001,20900000,0.4897,0.5103,0
189,chr1,20900001,21000000,0.48951,0.51049,0
190,chr1,21000001,21100000,0.4924,0.5076,0
191,chr1,21100001,21200000,0.41705,0.58295,0
192,chr1,21200001,21300000,0.37763,0.62237,0
193,chr1,21300001,21400000,0.38884,0.61116,0
194,chr1,21400001,21500000,0.40143,0.59857,0
195,chr1,21500001,21600000,0.49589,0.50411,0
196,chr1,21600001,21700000,0.51302,0.48698,0
197,chr1,21700001,21800000,0.45767,0.54233,0
198,chr1,21800001,21900000,0.49877,0.50123,0
199,chr1,21900001,22000000,0.56264,0.43736,0
200,chr1,22000001,22100000,0.41506,0.58494,0
201,chr1,22100001,22200000,0.52741,0.47259,0
202,chr1,22200001,22300000,0.53592,0.46408,0
203,chr1,22300001,22400000,0.47938,0.52062,0
204,chr1,22400001,22500000,0.49183,0.50817,0
205,chr1,22500001,22600000,0.51678,0.48322,0
206,chr1,22600001,22700000,0.48584,0.51416,0
207,chr1,22700001,22800000,0.4519,0.5481,0
208,chr1,22800001,22900000,0.48077,0.51923,0
209,chr1,22900001,23000000,0.52979,0.47021,0
210,chr1,23000001,23100000,0.50973,0.49027,0
211,chr1,23100001,23200000,0.51778,0.48222,0
212,chr1,23200001,23300000,0.49587,0.50413,0
213,chr1,23300001,23400000,0.41574,0.58426,0
214,chr1,23400001,23500000,0.42953,0.57047,0
215,chr1,23500001,23600000,0.47579,0.52421,0
216,chr1,23600001,23700000,0.41122,0.58878,0
217,chr1,23700001,23800000,0.48957,0.51043,0
218,chr1,23800001,23900000,0.49977,0.50023,0
219,chr1,23900001,24000000,0.48411,0.51589,0
220,chr1,24000001,24100000,0.4656,0.5344,0
221,chr1,24100001,24200000,0.47655,0.52345,0
222,chr1,24200001,24300000,0.45383,0.54617,0
223,chr1,24300001,24400000,0.46369,0.53631,0
224,chr1,24400001,24500000,0.50671,0.49329,0
225,chr1,24500001,24600000,0.46893,0.53107,0
226,chr1,24600001,24700000,0.48551,0.51449,0
227,chr1,24700001,24800000,0.437,0.563,0
228,chr1,24800001,24900000,0.44925,0.55075,0
229,chr1,24900001,25000000,0.44,0.56,0
230,chr1,25000001,25100000,0.47111,0.52889,0
231,chr1,25100001,25200000,0.43343,0.56657,0
232,chr1,25200001,25300000,0.52325,0.47675,0
233,chr1,25300001,25400000,0.52114,0.47886,0
234,chr1,25400001,25500000,0.46449,0.53551,0
235,chr1,25500001,25600000,0.46803,0.53197,0
236,chr1,25600001,25700000,0.45383,0.54617,0
237,chr1,25700001,25800000,0.44195,0.55805,0
238,chr1,25800001,25900000,0.49033,0.50967,0
239,chr1,25900001,26000000,0.47498,0.52502,0
240,chr1,26000001,26100000,0.49591,0.50409,0
241,chr1,26100001,26200000,0.49782,0.50218,0
242,chr1,26200001,26300000,0.47378,0.52622,0
243,chr1,26300001,26400000,0.50221,0.49779,0
244,chr1,26400001,26500000,0.46997,0.53003,0
245,chr1,26500001,26600000,0.4786,0.5214,0
246,chr1,26600001,26700000,0.53114,0.46886,0
247,chr1,26700001,26800000,0.46482,0.53518,0
248,chr1,26800001,26900000,0.5018,0.4982,0
249,chr1,26900001,27000000,0.45439,0.54561,0
250,chr1,27000001,27100000,0.45532,0.54468,0
251,chr1,27100001,27200000,0.50336,0.49664,0
252,chr1,27200001,27300000,0.49066,0.50934,0
253,chr1,27300001,27400000,0.51251,0.48749,0
254,chr1,27400001,27500000,0.50234,0.49766,0
255,chr1,27500001,27600000,0.45077,0.54923,0
256,chr1,27600001,27700000,0.51734,0.48266,0
257,chr1,27700001,27800000,0.47292,0.52708,0
258,chr1,27800001,27900000,0.52391,0.47609,0
259,chr1,27900001,28000000,0.52675,0.47325,0
260,chr1,28000001,28100000,0.44224,0.55776,0
261,chr1,28100001,28200000,0.45039,0.54961,0
262,chr1,28200001,28300000,0.48354,0.51646,0
263,chr1,28300001,28400000,0.39492,0.60508,0
264,chr1,28400001,28500000,0.44959,0.55041,0
265,chr1,28500001,28600000,0.46396,0.53604,0
266,chr1,28600001,28700000,0.46234,0.53766,0
267,chr1,28700001,28800000,0.422,0.578,0
268,chr1,28800001,28900000,0.47574,0.52426,0
269,chr1,28900001,29000000,0.4789,0.5211,0
270,chr1,29000001,29100000,0.44737,0.55263,0
271,chr1,29100001,29200000,0.49509,0.50491,0
272,chr1,29200001,29300000,0.4466,0.5534,0
273,chr1,29300001,29400000,0.39636,0.60364,0
274,chr1,29400001,29500000,0.45964,0.54036,0
275,chr1,29500001,29600000,0.49153,0.50847,0
276,chr1,29600001,29700000,0.50667,0.49333,0
277,chr1,29700001,29800000,0.47962,0.52038,0
278,chr1,29800001,29900000,0.3777,0.40312,0
279,chr1,29900001,30000000,0.0,0.0,1
280,chr1,30000001,30100000,0.33158,0.3876,0
281,chr1,30100001,30200000,0.48969,0.51031,0
282,chr1,30200001,30300000,0.467,0.533,0
283,chr1,30300001,30400000,0.47953,0.52047,0
284,chr1,30400001,30500000,0.46771,0.53229,0
285,chr1,30500001,30600000,0.50241,0.49759,0
286,chr1,30600001,30700000,0.45714,0.54286,0
287,chr1,30700001,30800000,0.48352,0.51648,0
288,chr1,30800001,30900000,0.49015,0.50985,0
289,chr1,30900001,31000000,0.47471,0.52529,0
290,chr1,31000001,31100000,0.44026,0.55974,0
291,chr1,31100001,31200000,0.5176,0.4824,0
292,chr1,31200001,31300000,0.52337,0.47663,0
293,chr1,31300001,31400000,0.51181,0.48819,0
294,chr1,31400001,31500000,0.40333,0.59667,0
295,chr1,31500001,31600000,0.44797,0.55203,0
296,chr1,31600001,31700000,0.49579,0.50421,0
297,chr1,31700001,31800000,0.44274,0.55726,0
298,chr1,31800001,31900000,0.46775,0.53225,0
299,chr1,31900001,32000000,0.4461,0.5539,0
300,chr1,32000001,32100000,0.48369,0.51631,0
301,chr1,32100001,32200000,0.53981,0.46019,0
302,chr1,32200001,32300000,0.52701,0.47299,0
303,chr1,32300001,32400000,0.4305,0.5695,0
304,chr1,32400001,32500000,0.46227,0.53773,0
305,chr1,32500001,32600000,0.46252,0.53748,0
306,chr1,32600001,32700000,0.48033,0.51967,0
307,chr1,32700001,32800000,0.48847,0.51153,0
308,chr1,32800001,32900000,0.4934,0.5066,0
309,chr1,32900001,33000000,0.45256,0.54744,0
310,chr1,33000001,33100000,0.43866,0.56134,0
311,chr1,33100001,33200000,0.47455,0.52545,0
312,chr1,33200001,33300000,0.4851,0.5149,0
313,chr1,33300001,33400000,0.48594,0.51406,0
314,chr1,33400001,33500000,0.46457,0.53543,0
315,chr1,33500001,33600000,0.46784,0.53216,0
316,chr1,33600001,33700000,0.46389,0.53611,0
317,chr1,33700001,33800000,0.50299,0.49701,0
318,chr1,33800001,33900000,0.44394,0.55606,0
319,chr1,33900001,34000000,0.44918,0.55082,0
320,chr1,34000001,34100000,0.4485,0.5515,0
321,chr1,34100001,34200000,0.44584,0.55416,0
322,chr1,34200001,34300000,0.45137,0.54863,0
323,chr1,34300001,34400000,0.45271,0.54729,0
324,chr1,34400001,34500000,0.4641,0.5359,0
325,chr1,34500001,34600000,0.44188,0.55812,0
326,chr1,34600001,34700000,0.46903,0.53097,0
327,chr1,34700001,34800000,0.41729,0.58271,0
328,chr1,34800001,34900000,0.43619,0.56381,0
329,chr1,34900001,35000000,0.43323,0.56677,0
330,chr1,35000001,35100000,0.43453,0.56547,0
331,chr1,35100001,35200000,0.45249,0.54751,0
332,chr1,35200001,35300000,0.4807,0.5193,0
333,chr1,35300001,35400000,0.48886,0.51114,0
334,chr1,35400001,35500000,0.40806,0.59194,0
335,chr1,35500001,35600000,0.42361,0.57639,0
336,chr1,35600001,35700000,0.43328,0.56672,0
337,chr1,35700001,35800000,0.40684,0.59316,0
338,chr1,35800001,35900000,0.3853,0.6147,0
339,chr1,35900001,36000000,0.4173,0.5827,0
340,chr1,36000001,36100000,0.46061,0.53939,0
341,chr1,36100001,36200000,0.46289,0.53711,0
342,chr1,36200001,36300000,0.42744,0.57256,0
343,chr1,36300001,36400000,0.43963,0.56037,0
344,chr1,36400001,36500000,0.38261,0.61739,0
345,chr1,36500001,36600000,0.48196,0.51804,0
346,chr1,36600001,36700000,0.49957,0.50043,0
347,chr1,36700001,36800000,0.46285,0.53715,0
348,chr1,36800001,36900000,0.50111,0.49889,0
349,chr1,36900001,37000000,0.48588,0.51412,0
350,chr1,37000001,37100000,0.48554,0.51446,0
351,chr1,37100001,37200000,0.48096,0.51904,0
352,chr1,37200001,37300000,0.49246,0.50754,0
353,chr1,37300001,37400000,0.48019,0.51981,0
354,chr1,37400001,37500000,0.5081,0.4919,0
355,chr1,37500001,37600000,0.49416,0.50584,0
356,chr1,37600001,37700000,0.41556,0.58444,0
357,chr1,37700001,37800000,0.49167,0.50833,0
358,chr1,37800001,37900000,0.47214,0.52786,0
359,chr1,37900001,38000000,0.48137,0.51863,0
360,chr1,38100001,38200000,0.50227,0.49773,0
361,chr1,38200001,38300000,0.47047,0.52953,0
362,chr1,38300001,38400000,0.45379,0.54621,0
363,chr1,38400001,38500000,0.48708,0.51292,0
364,chr1,38500001,38600000,0.51063,0.48937,0
365,chr1,38600001,38700000,0.46999,0.53001,0
366,chr1,38700001,38800000,0.45359,0.54641,0
367,chr1,38800001,38900000,0.41684,0.58316,0
368,chr1,38900001,39000000,0.4366,0.5634,0
369,chr1,39000001,39100000,0.45369,0.54631,0
370,chr1,39100001,39200000,0.44043,0.55957,0
371,chr1,39200001,39300000,0.4599,0.5401,0
372,chr1,39300001,39400000,0.43266,0.56734,0
373,chr1,39400001,39500000,0.45647,0.54353,0
374,chr1,39500001,39600000,0.46268,0.53732,0
375,chr1,39600001,39700000,0.42789,0.57211,0
376,chr1,39700001,39800000,0.41028,0.58972,0
377,chr1,39800001,39900000,0.42101,0.57899,0
378,chr1,39900001,40000000,0.47542,0.52458,0
379,chr1,40000001,40100000,0.47834,0.52166,0
380,chr1,40100001,40200000,0.48018,0.51982,0
381,chr1,40200001,40300000,0.49782,0.50218,0
382,chr1,40300001,40400000,0.4542,0.5458,0
383,chr1,40400001,40500000,0.46333,0.53667,0
384,chr1,40500001,40600000,0.42769,0.57231,0
385,chr1,40600001,40700000,0.40252,0.59748,0
386,chr1,40700001,40800000,0.44834,0.55166,0
387,chr1,40800001,40900000,0.42395,0.57605,0
388,chr1,40900001,41000000,0.41863,0.58137,0
389,chr1,41000001,41100000,0.43371,0.56629,0
390,chr1,41100001,41200000,0.4602,0.5398,0
391,chr1,41200001,41300000,0.50286,0.49714,0
392,chr1,41300001,41400000,0.48266,0.51734,0
393,chr1,41400001,41500000,0.46684,0.53316,0
394,chr1,41500001,41600000,0.39875,0.60125,0
395,chr1,41600001,41700000,0.38213,0.61787,0
396,chr1,41700001,41800000,0.45542,0.54458,0
397,chr1,41800001,41900000,0.52678,0.47322,0
398,chr1,41900001,42000000,0.53515,0.46485,0
399,chr1,42000001,42100000,0.47836,0.52164,0
400,chr1,42100001,42200000,0.49615,0.50385,0
401,chr1,42200001,42300000,0.46924,0.53076,0
402,chr1,42300001,42400000,0.44006,0.55994,0
403,chr1,42400001,42500000,0.40991,0.59009,0
404,chr1,42500001,42600000,0.40278,0.59722,0
405,chr1,42600001,42700000,0.43364,0.56636,0
406,chr1,42700001,42800000,0.38076,0.61924,0
407,chr1,42800001,42900000,0.43319,0.56681,0
408,chr1,42900001,43000000,0.40055,0.59945,0
409,chr1,43000001,43100000,0.39541,0.60459,0
410,chr1,43100001,43200000,0.42444,0.57556,0
411,chr1,43200001,43300000,0.46783,0.53217,0
412,chr1,43300001,43400000,0.44255,0.55745,0
413,chr1,43400001,43500000,0.49018,0.50982,0
414,chr1,43500001,43600000,0.44566,0.55434,0
415,chr1,43600001,43700000,0.43447,0.56553,0
416,chr1,43700001,43800000,0.49235,0.50765,0
417,chr1,43800001,43900000,0.48467,0.51533,0
418,chr1,43900001,44000000,0.47065,0.52935,0
419,chr1,44000001,44100000,0.54773,0.45227,0
420,chr1,44100001,44200000,0.46159,0.53841,0
421,chr1,44200001,44300000,0.41466,0.58534,0
422,chr1,44300001,44400000,0.47612,0.52388,0
423,chr1,44400001,44500000,0.54829,0.45171,0
424,chr1,44500001,44600000,0.4437,0.5563,0
425,chr1,44600001,44700000,0.43344,0.56656,0
426,chr1,44700001,44800000,0.48459,0.51541,0
427,chr1,44800001,44900000,0.44528,0.55472,0
428,chr1,44900001,45000000,0.43787,0.56213,0
429,chr1,45000001,45100000,0.49628,0.50372,0
430,chr1,45100001,45200000,0.49053,0.50947,0
431,chr1,45200001,45300000,0.51174,0.48826,0
432,chr1,45300001,45400000,0.44184,0.55816,0
433,chr1,45400001,45500000,0.44111,0.55889,0
434,chr1,45500001,45600000,0.41357,0.58643,0
435,chr1,45600001,45700000,0.39801,0.60199,0
436,chr1,45700001,45800000,0.44734,0.55266,0
437,chr1,45800001,45900000,0.43189,0.56811,0
438,chr1,45900001,46000000,0.44361,0.55639,0
439,chr1,46000001,46100000,0.45869,0.54131,0
440,chr1,46100001,46200000,0.41593,0.58407,0
441,chr1,46200001,46300000,0.43357,0.56643,0
442,chr1,46300001,46400000,0.39259,0.60741,0
443,chr1,46400001,46500000,0.42492,0.57508,0
444,chr1,46500001,46600000,0.41041,0.58959,0
445,chr1,46600001,46700000,0.47893,0.52107,0
446,chr1,46700001,46800000,0.47457,0.52543,0
447,chr1,46800001,46900000,0.49106,0.50894,0
448,chr1,46900001,47000000,0.53302,0.46698,0
449,chr1,47000001,47100000,0.49002,0.50998,0
450,chr1,47100001,47200000,0.41404,0.58596,0
451,chr1,47200001,47300000,0.4332,0.5668,0
452,chr1,47300001,47400000,0.4031,0.5969,0
453,chr1,47400001,47500000,0.4227,0.5773,0
454,chr1,47500001,47600000,0.38742,0.61258,0
455,chr1,47600001,47700000,0.48138,0.51862,0
456,chr1,47700001,47800000,0.42269,0.57731,0
457,chr1,47800001,47900000,0.45065,0.54935,0
458,chr1,47900001,48000000,0.47961,0.52039,0
459,chr1,48000001,48100000,0.47416,0.52584,0
460,chr1,48100001,48200000,0.4771,0.5229,0
461,chr1,48200001,48300000,0.50255,0.49745,0
462,chr1,48300001,48400000,0.47867,0.52133,0
463,chr1,48400001,48500000,0.45932,0.54068,0
464,chr1,48500001,48600000,0.44006,0.55994,0
465,chr1,48600001,48700000,0.42392,0.57608,0
466,chr1,48700001,48800000,0.39522,0.60478,0
467,chr1,48800001,48900000,0.36453,0.63547,0
468,chr1,48900001,49000000,0.40772,0.59228,0
469,chr1,49000001,49100000,0.43645,0.56355,0
470,chr1,49100001,49200000,0.45177,0.54823,0
471,chr1,49200001,49300000,0.42439,0.57561,0
472,chr1,49300001,49400000,0.39629,0.60371,0
473,chr1,49400001,49500000,0.39895,0.60105,0
474,chr1,49500001,49600000,0.3888,0.6112,0
475,chr1,49600001,49700000,0.38218,0.61782,0
476,chr1,49700001,49800000,0.37824,0.62176,0
477,chr1,49800001,49900000,0.37604,0.62396,0
478,chr1,49900001,50000000,0.3665,0.6335,0
479,chr1,50000001,50100000,0.38919,0.61081,0
480,chr1,50100001,50200000,0.35699,0.64301,0
481,chr1,50200001,50300000,0.36465,0.63535,0
482,chr1,50300001,50400000,0.37683,0.62317,0
483,chr1,50400001,50500000,0.37003,0.62997,0
484,chr1,50500001,50600000,0.38954,0.61046,0
485,chr1,50600001,50700000,0.4175,0.5825,0
486,chr1,50700001,50800000,0.4499,0.5501,0
487,chr1,50800001,50900000,0.44774,0.55226,0
488,chr1,50900001,51000000,0.38693,0.61307,0
489,chr1,51000001,51100000,0.37626,0.62374,0
490,chr1,51100001,51200000,0.39049,0.60951,0
491,chr1,51200001,51300000,0.37655,0.62345,0
492,chr1,51300001,51400000,0.37608,0.62392,0
493,chr1,51400001,51500000,0.3954,0.6046,0
494,chr1,51500001,51600000,0.39302,0.60698,0
495,chr1,51600001,51700000,0.41506,0.58494,0
496,chr1,51700001,51800000,0.46585,0.53415,0
497,chr1,51800001,51900000,0.40383,0.59617,0
498,chr1,51900001,52000000,0.38396,0.61604,0
499,chr1,52000001,52100000,0.42787,0.57213,0
500,chr1,52100001,52200000,0.39606,0.60394,0
501,chr1,52200001,52300000,0.37678,0.62322,0
502,chr1,52300001,52400000,0.42307,0.57693,0
503,chr1,52400001,52500000,0.44574,0.55426,0
504,chr1,52500001,52600000,0.42437,0.57563,0
505,chr1,52600001,52700000,0.41867,0.58133,0
506,chr1,52700001,52800000,0.39771,0.60229,0
507,chr1,52800001,52900000,0.44526,0.55474,0
508,chr1,52900001,53000000,0.37939,0.62061,0
509,chr1,53000001,53100000,0.44278,0.55722,0
510,chr1,53100001,53200000,0.45356,0.54644,0
511,chr1,53200001,53300000,0.4128,0.5872,0
512,chr1,53300001,53400000,0.44813,0.55187,0
513,chr1,53400001,53500000,0.39971,0.60029,0
514,chr1,53500001,53600000,0.51078,0.48922,0
515,chr1,53600001,53700000,0.44742,0.55258,0
516,chr1,53700001,53800000,0.51324,0.48676,0
517,chr1,53800001,53900000,0.47331,0.52669,0
518,chr1,53900001,54000000,0.51529,0.48471,0
519,chr1,54000001,54100000,0.49693,0.50307,0
520,chr1,54100001,54200000,0.49882,0.50118,0
521,chr1,54200001,54300000,0.41642,0.58358,0
522,chr1,54300001,54400000,0.4345,0.5655,0
523,chr1,54400001,54500000,0.44967,0.55033,0
524,chr1,54500001,54600000,0.4366,0.5634,0
525,chr1,54600001,54700000,0.49901,0.50099,0
526,chr1,54700001,54800000,0.5154,0.4846,0
527,chr1,54800001,54900000,0.49745,0.50255,0
528,chr1,54900001,55000000,0.4908,0.5092,0
529,chr1,55000001,55100000,0.5086,0.4914,0
530,chr1,55100001,55200000,0.46863,0.53137,0
531,chr1,55200001,55300000,0.49428,0.50572,0
532,chr1,55300001,55400000,0.46081,0.53919,0
533,chr1,55400001,55500000,0.48528,0.51472,0
534,chr1,55500001,55600000,0.43537,0.56463,0
535,chr1,55600001,55700000,0.38031,0.61969,0
536,chr1,55700001,55800000,0.43554,0.56446,0
